location,coordinates,name,room type,room price,number of reviews,minimum nights,availibility,rooms rent by the host
 Lucero,"40.40794476199323, -3.7517109028238416",habitación luminosa / central,Private room,25,0,1,365,1
 Justicia,"40.4232763392902, -3.698178474469542",Bonito piso de 100m2 en el centro con 3 cuartos,Private room,19,0,3,364,2
 Abrantes,"40.385342058560596, -3.7248081020590997",La Casa de Keren.,Private room,20,0,2,364,1
 Lucero,"40.405069819215996, -3.7433126830676215",Luminoso piso a 15 min del centro de Madrid,Entire home/apt,50,1,2,365,1
 Lucero,"40.40887678942604, -3.7430284151970272",Habitacion cerca del centro de Madrid,Private room,14,0,29,90,1
 Arapiles,"40.433757095213814, -3.705660942648242",Best room in madrid,Private room,68,0,1,365,1
 Cortes,"40.41364524925772, -3.702558789839851",La Cruz Apartment 2,Private room,70,0,5,0,7
 San Diego,"40.39457546728289, -3.6680758379314904",Habitación en Vallekas,Private room,20,0,2,90,1
 Universidad,"40.42331711170637, -3.7048727834660107",FOUR SEASON,Private room,75,0,1,364,3
 Justicia,"40.42409030978183, -3.6957899484801455",CENTRAL REFURBISHED XIX CENTURY FLAT,Entire home/apt,90,6,1,0,5
 Cortes,"40.414561243916516, -3.700072997736291",Bright silent room in the center,Private room,28,147,2,365,2
 Embajadores,"40.41226877131399, -3.703626940691418",Madrid center with balconies,Entire home/apt,75,57,2,0,1
 Cuatro Caminos,"40.45492198613186, -3.7005806776415753",Habitación privada en apartamento..,Private room,30,4,90,1,2
 Embajadores,"40.41296094956657, -3.7018864176945345",2 bedroom apartment downtown Madrid,Entire home/apt,97,158,4,1,1
 Sol,"40.41415003374718, -3.7058291208569365",Cosy Plaza Mayor apartment in central Madrid,Private room,30,7,30,0,1
 Sol,"40.41862117698843, -3.7007191147365264","Beautiful attic, best location.",Entire home/apt,70,7,3,0,1
 Pacífico,"40.403578812567865, -3.682381804038837",Habitación amplia y comoda centro Madrid,Private room,29,5,14,364,2
 San Juan Bautista,"40.44920098560659, -3.6534074236128933",Luxury loft near the center \ IFEMA and Airport,Entire home/apt,130,20,2,364,1
 Acacias,"40.40311138900397, -3.701478954652341",Host family in the center of Madrid,Private room,20,145,5,180,4
 Sol,"40.41745795720191, -3.7059844003497875","Place&Price:Amazing Location,70m2,2rooms,Wifi,XBOX",Entire home/apt,90,75,2,0,1
 Gaztambide,"40.43917450120462, -3.7144608778569728",NICE & BIG DOUBLE ROOM AT DOWNTOWN,Private room,32,128,1,365,2
 Sol,"40.417363483433, -3.7041200301832524",Best Deal BRIGHT PICASSO SUITE SOL,Entire home/apt,75,208,2,365,3
 Justicia,"40.42014955976255, -3.699824096068051",Cozy Attic in Prime Location,Entire home/apt,58,167,5,89,1
 Sol,"40.41616411722997, -3.70286643212805",Piso 2 habitaciones Pza. España.,Entire home/apt,68,1,2,179,1
 Embajadores,"40.40809553735572, -3.6957716042660174",Sunny home in Lavapiés terrace yoga mindfulness,Entire home/apt,69,31,2,364,1
 Gaztambide,"40.435524608075696, -3.7140661272396778",BEAUTIFUL APARTMENT IN THE CENTER,Entire home/apt,100,18,1,365,2
 Palos de Moguer,"40.40511720411625, -3.6963350939210544","Madrid, Atocha",Private room,58,113,1,365,1
 Pueblo Nuevo,"40.42884877019077, -3.643419843572422",Habitación acogedora en Madrid,Private room,29,23,2,180,1
 Justicia,"40.426937896413634, -3.7004235082678156",Ático con terraza de 35 m2 Malasaña,Entire home/apt,90,9,2,0,1
 Chopera,"40.39482596037387, -3.6955969948399807",APARTAMENTO ATICO LEGAZPI,Entire home/apt,60,5,1,0,1
 Universidad,"40.425216294772966, -3.7025868374791955",Lovely Apartment in Malasaña 1,Private room,35,64,2,1,4
 Embajadores,"40.40739164330199, -3.7002721009933004",Habitación céntrica Lavapiés,Private room,30,45,2,0,1
 El Viso,"40.44813298796837, -3.6911319711254196","Habitación, pleno corazón de Madrid",Private room,70,3,3,364,1
 Comillas,"40.389514941642055, -3.71490149561439",Cozy room near Madrid Rio,Private room,32,242,2,179,2
 Universidad,"40.425328789436584, -3.704511233582188",Penthouse in the center of Madrid,Entire home/apt,65,219,2,180,1
 Acacias,"40.40093388374604, -3.6999583081128513",CÉNTRICA y amplia habitación DOBLE/INDIVIDUAL,Private room,45,41,1,365,3
 Justicia,"40.42388394425482, -3.6977704962831193",Bright and comfortable Double Bedroom in Malasaña,Entire home/apt,100,57,3,89,1
 Lista,"40.43218806871881, -3.676450474856669",BEAUTIFUL ROOM MADRID PARQUE RETIRO 2,Private room,35,299,15,364,4
 Prosperidad,"40.441504250979904, -3.6757741695371857",Room in shared apartment,Private room,40,43,2,364,1
 Pacífico,"40.40582254748599, -3.683811756548681",Modern Room in nice Flat RETIRO-ATOCHA,Private room,38,119,2,180,3
 Palacio,"40.420285469057845, -3.710117808978499",Habitación con baño privado Gran Via/Callao,Private room,28,16,9,0,1
 Piovera,"40.456971229179175, -3.6459030785239523",STUDIO cosy IFEMA aeropuerto LICEO metro 5 mn,Entire home/apt,48,92,1,0,4
 Palacio,"40.411323377348744, -3.7111390710586494",AMAZING APARTMENT LA LATINA,Entire home/apt,100,7,3,365,2
 Argüelles,"40.42128674100567, -3.713919913703214",TU HOGAR EN MADRID!,Entire home/apt,175,8,2,365,3
 Palacio,"40.41250675736418, -3.7074757029442464",La Latina Habitación en pleno centro Madrid.,Private room,28,0,1,0,2
 Trafalgar,"40.433545819806675, -3.7003687177086246",charming and sunny apartment,Entire home/apt,40,0,10,0,2
 Rosas,"40.42413484322022, -3.6097508594648025",Madrid Las Rosas - Nice Apartment Close To Metro,Entire home/apt,25,3,12,0,2
 Vallehermoso,"40.44367956347908, -3.7157008032481267","Habitación, baño y cama matrimonio",Private room,25,0,1,0,1
 Argüelles,"40.42374321303367, -3.7140940659048374",Charming apartment in Plaza España,Entire home/apt,90,4,2,0,1
 Justicia,"40.42259968290663, -3.7001712806341676",Madrid centro. Chueca 1,Private room,49,42,3,365,4
 Justicia,"40.42111683715618, -3.6997103233167707",piso compartido,Private room,50,0,1,0,1
 Trafalgar,"40.43416200201264, -3.7012425917651406",1 Bedroom Flat in Chamberi,Entire home/apt,100,5,3,0,1
 Sol,"40.41583548059141, -3.705882590206288",Esencial Apartments Madrid 3,Entire home/apt,125,20,2,0,4
 Pacífico,"40.4056551839369, -3.6769189349259253",Habitación de Corazón en pacífico (loft de kamin),Private room,28,0,2,0,2
 Palacio,"40.40859662496085, -3.716135464759973",Apartment with views,Entire home/apt,60,2,1,0,1
 Gaztambide,"40.43661079991627, -3.71638837007586",Cosy room in Moncloa,Private room,29,136,2,90,2
 Pacífico,"40.403199999774614, -3.681505687184429",Charming Spanish Apartment,Private room,40,0,1,0,1
 Embajadores,"40.410255990506414, -3.706256523555949",Apartment in the Heart of Madrid,Entire home/apt,45,10,1,0,1
 Valdeacederas,"40.47080197083516, -3.700214422928832",Cute and cozy loft.,Entire home/apt,55,23,3,364,1
 Sol,"40.419248541362656, -3.70095016378328","Apartment New, Gran Vía-Sol WIFI",Entire home/apt,120,68,4,365,2
 Rejas,"40.44529808555307, -3.5831285481918846",Pequeño apartamento Madrid capital,Entire home/apt,32,1,2,0,1
 Universidad,"40.426678898331076, -3.711368634003335",Ambiente familiar y tranquilo,Private room,30,5,2,364,3
 Sol,"40.41785617401612, -3.7073806292052907",Apartment near Plaza Mayor,Entire home/apt,90,2,1,0,1
 Palacio,"40.41020527046002, -3.7097662450365436",Habitación bonita y céntrica.,Private room,25,160,2,0,2
 Palomeras Bajas,"40.389570816732835, -3.6631062286580693",HABITACION AMPLIA Y COMODA,Private room,35,0,1,0,1
 Trafalgar,"40.4306420848411, -3.7005149725042563",Estudio en el corazón de Chamberí,Entire home/apt,35,121,2,0,1
 Embajadores,"40.40779962678888, -3.7006682606859838",Sunny Flat - Madrid Center,Private room,25,122,2,0,1
 Imperial,"40.40775778195983, -3.7161096120037893",Dormitorio en zona centro,Private room,30,105,3,365,1
 Cortes,"40.41719833208623, -3.6986690438063152",Cosy and light-filled studio. Excellent location,Entire home/apt,65,251,3,0,2
 Concepción,"40.44223039243699, -3.6478611594387926",Habitación cerca aeropuerto y wanda metropolitano,Private room,27,70,1,365,1
 Palacio,"40.41189851890361, -3.7095942118545358",Charming duplex next to Plaza Mayor,Entire home/apt,70,54,5,365,2
 Acacias,"40.39706676374685, -3.706400486693439",Room with views to Madrid Río,Private room,23,0,2,0,1
 Embajadores,"40.41023721232957, -3.700828649539612",Sueña en el  Centro de Madrid.,Entire home/apt,44,99,30,0,1
 Trafalgar,"40.43130505879755, -3.7031023333219526","Single room in the city centre, breakfast incl.",Private room,30,4,1,0,1
 Canillas,"40.462988732099596, -3.654341050526662",Quiet and design. WIFI,Entire home/apt,109,21,3,1,2
 Guindalera,"40.43780561361099, -3.6758628972015974","Private Room near Salamanca, with A/C and WIFI",Private room,22,1,2,0,1
 Valdefuentes,"40.48949918447827, -3.649946277631566",Bajo con jardín en Sanchinarro,Entire home/apt,110,0,7,0,1
 Numancia,"40.397775993232585, -3.6681316353308677","Charming & Cozy Flat, Sleeps 4!",Entire home/apt,35,17,2,0,1
 Acacias,"40.402627809329054, -3.707926175447377",Céntrico. Terraza. 2 personas.,Entire home/apt,70,27,2,89,1
 San Diego,"40.387955228584985, -3.667261351217184","better price, comfortable room",Private room,21,93,2,364,1
 Jerónimos,"40.41540743097786, -3.691530691685206",Apartamento en el Centro al lado Museo del Prado,Entire home/apt,60,79,90,0,3
 Embajadores,"40.41081258922537, -3.703353211432664",Small Studio in Madrid Center with Parking,Entire home/apt,55,289,2,0,1
 Puerta del Angel,"40.41089390937453, -3.740183211501055","ZONA LA LATINA, muy soleado",Entire home/apt,80,0,1,0,1
 Embajadores,"40.41108299546593, -3.705045590810256",Spacious double bedroom in the center of Madrid,Private room,16,3,15,0,1
 Universidad,"40.42828091320451, -3.708973216494551",Plaza de Comendadoras cozy apartment,Entire home/apt,50,37,3,364,1
 Casco Histórico de Barajas,"40.474654632231086, -3.576449144325248",Private individual room near Madrid Airport,Private room,23,16,1,0,2
 Recoletos,"40.420660650448404, -3.6819939105573085",Habitación junto al Retiro,Private room,35,95,2,90,1
 Vallehermoso,"40.44251870886033, -3.71366897085452","Apartamento moderno en Vallermoso,  Madrid",Entire home/apt,59,136,2,364,1
 Justicia,"40.424586102002614, -3.6999455103972623",Beautiful & Centric 3BD - FUENCARRAL,Entire home/apt,176,108,4,365,1
 Universidad,"40.426001500991816, -3.712310647607722","BALCONY HEAVEN, GREAT FLAT, AREA, CENTER MADRID!",Entire home/apt,79,9,4,364,4
 Goya,"40.427137198829506, -3.680138479138096",(APARTAMENTO SOL Y MAR) VELAZQUEZ,Entire home/apt,60,22,1,365,1
 Embajadores,"40.40924394008202, -3.70309715087323",Precioso apartamento en el centro :),Entire home/apt,70,114,2,0,2
 Embajadores,"40.409247433321674, -3.708741381363792",I LOVE MADRID GRAN VIA - SILVA,Entire home/apt,69,171,3,0,4
 Vallehermoso,"40.4393466612869, -3.7170404857852426",Mid Century Flat,Entire home/apt,60,0,1,0,1
 Universidad,"40.424034196380504, -3.710170644109443",Apartamento en pleno centro de Madrid,Entire home/apt,94,100,1,0,1
 Almagro,"40.43282863732438, -3.692939481030204",Single room in Rubén Darío (Chamberí),Private room,30,66,2,0,1
 Palacio,"40.411795778913294, -3.7128153708709553",Downtown Madrid,Entire home/apt,123,14,4,0,1
 Palacio,"40.41117207310607, -3.713695579832082",Palacio Real: Confortable estudio recién renovado,Entire home/apt,50,9,30,0,1
 Embajadores,"40.41001221402257, -3.7063653593111656","""Mi pisito"" en La Latina",Entire home/apt,49,196,1,1,2
 Universidad,"40.42718690011894, -3.701047725458122",Casa exterior con encanto en CHUECA - MALASAÑA,Entire home/apt,100,6,2,364,1
 Universidad,"40.424402830517984, -3.703143992505651",Your Own New Studio in Madrid,Entire home/apt,60,115,1,0,1
 Almenara,"40.46976007844811, -3.693962626653458",Spectacular Penthouse in Plaza de Castilla,Entire home/apt,80,32,4,364,1
 Sol,"40.41752810210645, -3.7075459267158215",Excellent Apartment Sol- City Center,Entire home/apt,99,7,4,89,1
 San Fermín,"40.37171148278112, -3.691110789546411",Acogedora habitación doble a 15 minutos del centro,Private room,25,40,2,365,3
 Goya,"40.42767730724901, -3.6767784762490923",Dormir en el barrio Salamanca-GOYA y baño privado,Private room,30,4,2,0,1
 Moscardó,"40.38774741718211, -3.706738645344085",Casa familiar idónea como campamento base,Entire home/apt,69,0,6,0,1
 Justicia,"40.423809042165146, -3.6971657706890833",Luminous and calid right in the centre!,Entire home/apt,140,14,4,0,1
 Acacias,"40.402808494405384, -3.7100515997766728",Madrid by the river 2,Private room,50,0,3,0,7
 Acacias,"40.40327204662765, -3.7097264654913387",Madrid by the river 4,Private room,50,0,3,0,7
 Embajadores,"40.409761838692276, -3.7042473300350096","Habitación con vistas a la calle, muy centrica",Private room,35,68,2,365,3
 Goya,"40.42407841208334, -3.6729433362238737",Apartamento en Goya,Entire home/apt,70,16,20,179,1
 Embajadores,"40.411164662021996, -3.70209398058608",AlmaSuites I. Tu casa en Madrid,Entire home/apt,85,1,1,0,2
 Vallehermoso,"40.44079846024017, -3.714259471431262",Apartamento acogedor en el centro de madrid,Private room,50,1,1,0,1
 Sol,"40.41577794491582, -3.7066071097944358","Super Luxury apartment center of Madrid,C/Mayor",Entire home/apt,90,223,3,0,3
 Cármenes,"40.39527043601502, -3.741166884961976",Leo,Private room,100,1,1,364,1
 Embajadores,"40.41116490571062, -3.7067607637203093",Piso en pleno centro-Tirso de Molina-,Entire home/apt,45,32,1,0,1
 Legazpi,"40.38760513735076, -3.693871156442346",Habitación,Private room,60,0,1,0,1
 Palacio,"40.41388565710713, -3.7097287432977644",Precioso apartamento al lado de la Plaza Mayor,Entire home/apt,85,72,3,179,1
 Guindalera,"40.43902841637165, -3.6637355537654206",Comfortable bedroom with bathroom & dressing room,Private room,21,2,30,364,1
 Universidad,"40.42433056823804, -3.706270722695851",A bright room with private toilet in Malasana!,Entire home/apt,51,0,2,0,1
 San Diego,"40.386471492522695, -3.66520058103313",Rivendel,Entire home/apt,31,1,1,0,1
 Imperial,"40.40619377965025, -3.71278742973912",Increíble Habitación en el Corazón de Madrid,Private room,30,41,1,0,1
 Castillejos,"40.457634285553844, -3.694979028226057",Private room in Bernabéu's/AZCA area,Private room,25,28,5,180,3
 Goya,"40.42613711751317, -3.6775828896737064",Entire apartment in Goya,Entire home/apt,70,3,1,0,1
 Justicia,"40.4254450381571, -3.699893286499836",New apartment in trendy Malasaña area,Entire home/apt,60,50,1,0,1
 San Isidro,"40.39307079308308, -3.7269755997294767","Double room, Vive Madrid, near Toledo bredge",Private room,25,72,1,365,1
 Universidad,"40.42096406484263, -3.701078102691692","Coqueto y acogedor Estudio ""Gran Vía""",Entire home/apt,62,101,2,0,1
 Santa Eugenia,"40.382040685769056, -3.605903187414426",Habitación acogedora en un barrio tranquilo,Private room,36,41,2,0,1
 Puerta del Angel,"40.412279961294075, -3.7319711767727064",Cute and cozy apartment by Madrid Rio,Entire home/apt,58,79,3,0,6
 Embajadores,"40.41019376562584, -3.6996495375175407",***CENTRAL***STUDIO HEART of MADRID. YELLOW.,Entire home/apt,52,70,1,364,4
 Simancas,"40.438469244541, -3.63126859632182",Atico Loft con amplia terraza,Entire home/apt,85,8,5,180,4
 Rios Rosas,"40.44493874513815, -3.7014053927991952",Luminosa habitación + salita de Estar,Private room,45,4,2,0,1
 Almagro,"40.436790317728715, -3.6976775488204554",COVID DESINFECTED.  Great 2 bedroom central Madrid,Entire home/apt,100,84,6,0,1
 Arapiles,"40.430723467367784, -3.7061174324863533",HABITACIÓN AMPLIA EN EL CENTRO DE MADRID,Private room,19,7,2,0,1
 Palacio,"40.41681630842083, -3.70928157800371","HABITACIÓN MADRID CENTRO PLAZA MAYOR, OPERA y SOL.",Private room,28,75,2,90,1
 Guindalera,"40.43429430256586, -3.672967491436453",Madrid Little Room,Private room,22,3,3,0,2
 Guindalera,"40.43500567609548, -3.675068333765759",Piso familiar en un barrio tranquilo,Entire home/apt,75,0,7,0,1
 Fuente del Berro,"40.42774877745064, -3.6655662458803175",Piso cerca de la plaza de toros.,Private room,20,2,1,0,3
 Comillas,"40.39631209284223, -3.7108969268154173",Your home in Madrid for the Champions Final!,Entire home/apt,60,5,1,0,1
 Pacífico,"40.4049637633319, -3.674842943194529",Piso en el barrio de Pacífico,Entire home/apt,90,2,3,0,2
 Canillas,"40.462101209224244, -3.6421040356673795",hahabitación privada cerca al aeropuerto,Private room,25,1,1,0,1
 Casco Histórico de Vallecas,"40.375776994738814, -3.627023073091366","HABITACIÓN  POR DÍAS,con sofá cama de matrimonio",Private room,25,2,1,0,1
 San Cristobal,"40.343866772079416, -3.686122246689686",COMO EN CASA,Private room,17,24,3,364,2
 Ciudad Jardín,"40.44621610965905, -3.6749232989083027",Estudio en Madrid,Entire home/apt,65,4,1,0,1
 Universidad,"40.42106008447691, -3.7012406458940013",Studio close to Gran Vía Metro,Entire home/apt,45,12,3,0,1
 Embajadores,"40.4090480923406, -3.7032192215466626",Double room with balcony,Private room,150,0,2,365,1
 Hispanoamérica,"40.45671119997314, -3.680473763259008",Apartamento moderno cerca del Santiago Bernabéu,Entire home/apt,150,16,2,364,1
 Aguilas,"40.37886491727934, -3.7831883014300347",Casa monroy B,Private room,15,6,2,0,1
 San Isidro,"40.39952662588136, -3.722103812372015","Amazing new design apartment with 2 bedr, 2 baths",Entire home/apt,110,0,4,0,5
 Embajadores,"40.41083154362243, -3.705594460888887",Cozy apartment - Madrid city center,Entire home/apt,72,40,1,90,1
 Argüelles,"40.43106345170976, -3.7204374363669466",Habitaciones en el Centro de Madrid,Private room,35,5,1,0,2
 Argüelles,"40.42933004335042, -3.7193027780767878",Habitación Azul,Private room,30,2,1,0,2
 Universidad,"40.42611284271865, -3.7051935215259206",Habitación privada en piso compartido,Private room,20,1,5,0,1
 Palacio,"40.41999621493195, -3.7082873603117807",Private room in the PLAZA for one or two!,Private room,30,1,1,0,1
 Acacias,"40.40502972252031, -3.7084882890007607",Piso luminoso exterior en el Centro,Entire home/apt,95,2,2,0,2
 Lucero,"40.40640007690416, -3.7483984353053263",Apartamento En Madrid,Private room,30,0,1,89,2
 Almagro,"40.435152355190475, -3.6911104232176273",Cozy Madrid Apartment in chic neighbourhood,Entire home/apt,60,2,7,0,1
 Goya,"40.425296526792906, -3.669974325582558",Habitacion privada en Goya,Private room,30,1,1,0,1
 Embajadores,"40.41030267852518, -3.701679058927771",Cozy centric Apt in Modern Lavapies! Walk Madrid,Entire home/apt,79,57,2,180,2
 Numancia,"40.39625785518191, -3.663831058828089",Apartamento luminoso a 200m del metro - WiFi + A/C,Entire home/apt,55,100,3,180,1
 Palomeras Sureste,"40.38006913347352, -3.6497797062303343",Bio&Bed,Private room,19,13,2,0,1
 Universidad,"40.42198209609994, -3.704040126008061",Downtown Family Apartment - NEW,Entire home/apt,124,43,2,0,1
 Rejas,"40.443378552873206, -3.5796352252935093","Wonderful apartment Airport ,Ifema ,Wanda",Entire home/apt,56,41,1,365,1
 Universidad,"40.422919522569224, -3.705710969887263",Acogedor Apartamento a 5 minutos de Gran Vía,Entire home/apt,47,24,3,180,1
 Ventas,"40.424107557014594, -3.650618283189844","Habitación privada en Madrid,",Private room,9,1,1,0,1
 Estrella,"40.406961862012004, -3.667302746221076",Bright spacious room next to retiro park!,Private room,85,3,1,0,1
 Embajadores,"40.40944427836952, -3.7041161314805615",Centric & Modern Apartment | Plaza Mayor | 2BR,Entire home/apt,51,50,7,0,3
 Trafalgar,"40.436382884820574, -3.7014662905846345",Lovely 1 Bed Apt w/Balcony in Chamberí,Entire home/apt,69,21,1,364,1
 Cuatro Caminos,"40.45067563146825, -3.7013191077878678",Acogedor y precioso estudio en Bravo Murillo.,Entire home/apt,55,23,2,0,2
 Justicia,"40.42006976464522, -3.7014830990064858",Double bedroom in VERY CENTRAL apartment,Private room,35,56,3,0,3
 Almenara,"40.46563066611398, -3.6938244265083786",PRECIOSO ESTUDIO TURÍSTICO en MADRID - Wifi y A/C,Entire home/apt,65,2,4,0,1
 Lucero,"40.40447533805849, -3.753836520702768",Estudio cerca del centro-casa de campo,Entire home/apt,50,1,1,0,1
 San Diego,"40.392902315933036, -3.669652417307915",Piso estudio luminoso,Entire home/apt,30,13,2,180,2
 Embajadores,"40.408795731850695, -3.705036907440641",FANTASTICO ATICO EN PLENO CENTRO DE MADRID,Entire home/apt,110,40,3,179,1
 Palos de Moguer,"40.40367024493277, -3.691226095696259",Moderno estudio en Atocha (Railway Station),Entire home/apt,100,0,2,0,1
 Lista,"40.42931980201525, -3.6748655681682827",Champions league final double room,Private room,50,1,1,1,1
 Numancia,"40.39851971108804, -3.6648858645382036",Comfortable Flat in Puente Vallecas,Entire home/apt,40,30,2,89,3
 San Diego,"40.392912659527234, -3.6701815729471576",Jardín En Monte Perdido B,Private room,18,33,1,179,2
 Embajadores,"40.41022883003581, -3.7001576151075617",Charming Lavapiés City Center - Renovated Studio,Entire home/apt,46,4,1,0,1
 Sol,"40.41767043471786, -3.70349362958291",Room,Private room,16,0,1,0,2
 Pueblo Nuevo,"40.4316646493309, -3.637987505672488",Private Room with Double Bed,Private room,27,6,3,0,1
 Embajadores,"40.41010238975658, -3.7025226560011837","The Rex: designer penthouse, ACon, Central Madrid",Entire home/apt,70,17,3,0,1
 Rejas,"40.44596397090341, -3.571705119522847",Habitación cerca Wanda y Aeropuerto Barajas,Private room,40,0,1,90,1
 Prosperidad,"40.44058555229017, -3.674878378007801",Spacious and Comfy Apartment !,Entire home/apt,120,0,2,0,1
 Opañel,"40.38910279513479, -3.7178096949334765",Luminoso piso en Madrid,Entire home/apt,89,9,2,365,1
 Pradolongo,"40.37999487458277, -3.7062396336064722",Habitación en Pradolongo para Champions,Private room,150,1,2,89,2
 Puerta del Angel,"40.411339802732904, -3.7314337997323963",Habitacion luminosa a 10 minutos del centro ciudad,Private room,60,1,1,365,2
 Sol,"40.41653989466786, -3.7029233600830613",Habitación en centro ciudad,Private room,70,7,4,179,6
 Numancia,"40.40104787486629, -3.662417912022167",Habitación Champions League,Private room,140,0,2,0,3
 Pilar,"40.47372363776237, -3.714060028789482",ALQUILO ESPECTACULAR HABITACION,Private room,15,0,365,364,1
 Embajadores,"40.408477743199235, -3.7095713731697475",Habitación doble en La Latina!,Private room,100,0,2,364,1
 Goya,"40.4241802973387, -3.6736528471514527",Lovely 4Bed in heart of Madrid - 4 min from Park,Entire home/apt,116,18,1,1,6
 Peñagrande,"40.48203614747703, -3.719612370927316",Private Room in Madrid Spain,Private room,60,1,1,0,2
 San Cristobal,"40.34488774867836, -3.687253785063851",Habitacion doble,Private room,39,0,1,0,2
 Entrevías,"40.378879414063576, -3.6696061390905803",Comfortable room final champions-15min centro,Private room,80,0,1,0,1
 Mirasierra,"40.48988229710096, -3.727927834649191",Room Los balcones del Golf,Private room,59,0,1,365,2
 Pilar,"40.47312130298556, -3.7094877884810806",PsHome,Entire home/apt,50,29,1,1,1
 Sol,"40.419183974254636, -3.700691912156162",Neptuno Apartment,Entire home/apt,120,11,1,90,7
 Timón,"40.46896880457296, -3.5852223980208566",Habitación confortable y limpia  con baño privado,Private room,20,21,1,0,1
 Justicia,"40.4213469203815, -3.6976742343926854",Lovely in Chueca don't miss it,Entire home/apt,74,6,1,364,7
 Embajadores,"40.409708481734846, -3.7052418522942387",Amazing single room just 10 min walking from Sol!,Private room,25,10,2,0,1
 Embajadores,"40.41077072664408, -3.7067465442960486","CONTEMPORARY | GENUINE HOME_LA LATINA, SOL + A/C",Entire home/apt,65,25,2,0,7
 Delicias,"40.39472476855091, -3.6942666715335006",Nice double room in Madrid city center,Private room,30,1,1,0,3
 Casa de Campo,"40.42488039347104, -3.7282026390310476",comparto apartamento cerca del centro y Madrid Rio,Private room,50,0,2,0,2
 Cuatro Caminos,"40.45664113056607, -3.6982519324192937",Modern quiet and comfy bedroom,Private room,40,0,30,0,1
 Embajadores,"40.41187268252356, -3.707059059495265","Private Room in cozy apartment, city centre Madrid",Private room,50,20,2,0,1
 Cuatro Caminos,"40.45083021040139, -3.701172349914198",Piso muy bien ubicado en Madrid,Entire home/apt,50,0,14,0,1
 Palomeras Sureste,"40.38278981628403, -3.632841364842581",Habitación con baño privado y piscina,Private room,30,21,1,0,1
 Valdezarza,"40.46045120464636, -3.710046995672678",HABITACION PRIVADA ENTRE BERNABEU/PLAZA CASTILLA 3,Private room,30,8,2,90,3
 Palos de Moguer,"40.401534637190586, -3.6876849099337217",Hab individual cerca de Atocha con baño privado,Private room,35,7,2,90,1
 Fuente del Berro,"40.425348295593786, -3.664426131468145",Habitación Disponible en Manuel Becerra,Private room,30,1,1,0,1
 Embajadores,"40.4113538079091, -3.700768058769382",Penthouse for 3 in Centro de Madrid - Lavapies,Entire home/apt,75,24,1,0,1
 Sol,"40.41818615325743, -3.7043438289915827",¡Viva la magia y el Sol en el kilometro 0!,Private room,39,35,1,1,2
 Embajadores,"40.41063941948847, -3.7004542056220564",Vivienda 2 dormitorios y 4 plazas en Centro Madrid,Entire home/apt,64,40,2,0,5
 Bellas Vistas,"40.452764967078004, -3.709011061130487",New cozy apartment near Stadium and University,Entire home/apt,59,5,1,364,2
 Aluche,"40.38850217859775, -3.759980525456044",Pequeño estudio con cocina americana,Entire home/apt,70,6,1,180,1
 Embajadores,"40.40757435565769, -3.707213933702454",Apartamento con encanto.,Entire home/apt,55,11,1,0,1
 Puerta del Angel,"40.413508621353145, -3.7298776021221163",Habitacion cama matrimonial,Private room,40,0,1,180,1
 Orcasur,"40.37376807848187, -3.694991315378891",Habitación para chica en Villaverde bajo,Private room,25,0,1,180,2
 Justicia,"40.420589869932165, -3.6980419228957926",Cómoda habitación Madrid Center,Private room,35,6,1,364,7
 Justicia,"40.42623290780892, -3.69995985802602",Piso en Calle Fuencarral 2b,Entire home/apt,65,14,2,0,2
 Sol,"40.415451759390486, -3.7016017377218176",Woola Apartament,Entire home/apt,80,0,2,90,2
 Hellín,"40.430080782528336, -3.6158720704131873",Habitacion confortable zona tranquila,Private room,30,18,1,364,1
 Ibiza,"40.4196014982811, -3.6762260970186786","Très chic... elegante, luminoso, a estrenar",Entire home/apt,49,13,3,0,1
 Trafalgar,"40.43225993532741, -3.698925758506467",Habitación privada,Private room,30,1,2,0,1
 Fuente del Berro,"40.42519172216311, -3.6647077148565796",Habitación en piso centrico - Manuel Becerra,Private room,40,0,1,0,1
 Embajadores,"40.410299788975856, -3.701578814756495",Habitación en el barrio de Lavapies,Private room,37,7,2,89,1
 Palacio,"40.40918633686196, -3.7141348090376556",Private room & bathroom in La Latina neighbourhood,Private room,25,2,1,0,2
 Castellana,"40.43505466271673, -3.6858540255904644",Habítacion en Serrano,Private room,35,1,1,0,1
 Trafalgar,"40.43097521718074, -3.7049474589803895",PISO LUJO MONTELEON MADRID,Entire home/apt,95,0,2,0,2
 Rios Rosas,"40.44092428759005, -3.6969717017176635","Habitación doble en Moderno loft, Chamberí",Private room,50,4,1,89,1
 Aguilas,"40.382727866472, -3.7664682620675274",Piso en las Águilas,Entire home/apt,70,1,6,365,1
 Cuatro Caminos,"40.45543161131495, -3.6962473745034794",:Espectacular piso junto a Paseo de la Castellana,Entire home/apt,165,3,2,0,1
 Sol,"40.41483762828472, -3.707277425334709","Elegant 1Bed Apt Sleeps 4, in the heart of Centro",Entire home/apt,64,11,2,179,1
 Ventas,"40.42719349033921, -3.646192212616168","Habitación Doble con Terraza, a 10 minutos de Sol!",Private room,31,8,1,0,6
 Pilar,"40.471791585099005, -3.71359919498523","Habitación grande,cama doble, tv 55"" en Madrid,",Private room,20,17,1,364,1
 Universidad,"40.42373457729111, -3.70482169032153",Cosy flat in Malasana,Entire home/apt,65,1,6,0,1
