location,coordinates,name,room type,room price,number of reviews,minimum nights,availibility,rooms rent by the host
 La Paz,"40.47874035316278, -3.6961150730529875",HABITACIÓN 2 CAMAS + SOFÁ CAMA +  BAÑO PROPIO,Private room,50,0,1,180,1
 Rejas,"40.44731153793542, -3.596146323995614","Double room near Airport,IFEMA,Wanda,Muñoza,Senasa",Private room,42,5,1,0,3
 Lista,"40.43080783288212, -3.672533071887943",Habit+baño indep. en Barrio Salamanca. SOLO CHICAS,Private room,35,0,1,0,1
 Embajadores,"40.40800975850049, -3.703588257480346",BRAND NEW & COZY FLAT in Madrid City Center 4pax.,Entire home/apt,80,13,3,89,1
 Embajadores,"40.40872369759719, -3.7087899890871303",Coqueta habitación en La Latina.,Private room,30,0,3,0,1
 Palacio,"40.41025713316795, -3.711498605447801",La Morada del Gato with style and good location.,Entire home/apt,50,53,5,0,1
 Chopera,"40.39660327785532, -3.6959748999981086",PRECIOSO PISO EN EL CENTRO DE MADRID,Entire home/apt,56,12,1,0,1
 Castellana,"40.437321117038124, -3.681054682552876",Apartamento Av. America - Barrio Salamanca,Entire home/apt,120,2,20,365,1
 Canillejas,"40.448265832241326, -3.6080387205994335","WANDA walking distance, close to the airport.",Entire home/apt,70,1,5,0,1
 Salvador,"40.44163600410101, -3.634165641019838",Habitación privada en casa tranquila - BUS  IFEMA,Private room,50,19,1,0,1
 Palacio,"40.41277658150381, -3.7099292626736657",Beautifull apartment in La Latina,Entire home/apt,110,3,3,0,1
 Moscardó,"40.387444204257875, -3.71349085264406",Home sweet home,Private room,38,7,2,90,1
 Legazpi,"40.38725933303659, -3.6941887982905244",Habitación para dos personas en Plaza Legazpi,Private room,30,0,1,179,2
 Opañel,"40.39442105647083, -3.7211416467294653",Vista Alegre Manzanares,Private room,25,8,2,1,1
 El Viso,"40.44990494862947, -3.6767865747275046","Parque de Berlín, Estadio Santiago Bernabeu",Entire home/apt,90,0,2,0,1
 Palomeras Sureste,"40.388868408435485, -3.643774830029217",The best option for the Champions League final cup,Private room,60,0,1,0,2
 Nueva España,"40.46219188903061, -3.6726105552706465","Beautiful Double Room With Balcony, in Chamartín.",Private room,195,0,2,364,2
 Valdeacederas,"40.46155563787771, -3.6997514782058087","Free Parking - Super location, bright, 1br with AC",Entire home/apt,89,67,1,0,7
 Puerta del Angel,"40.414830678329544, -3.726369059648623",Dos amplías habitaciones en el centro de Madrid,Private room,100,0,1,364,1
 Universidad,"40.42773415453756, -3.7015180412193383",Apartamento con terraza en Malasaña!,Entire home/apt,130,4,3,0,1
 Palos de Moguer,"40.40354114064879, -3.6964138099774937","Loft a Atocha, M. Reina Sofia, Lavapies.Ruta museo",Entire home/apt,80,5,3,89,1
 Rosas,"40.43341213485974, -3.6092123012179274",Habitación individual cerca del Wanda,Private room,18,14,1,0,1
 Rosas,"40.43235653988517, -3.6105048526540853",Only Parking near by Wanda Metropolitano,Entire home/apt,22,0,1,364,2
 Abrantes,"40.3746407611715, -3.7316413531457555",Queremos que tengas una estancia maravillosa!!!,Private room,25,0,2,0,1
 Rios Rosas,"40.437870964387486, -3.69659029273106",Homey bedroom close to Nuevos Ministerios,Private room,60,0,1,0,1
